season,player_id,player_display_name,position,team,games_played,age,years_exp,draft_number,value_score,value_epa_total,position_season_percentile,salary_millions,salary_source,contract_player,contract_team,year_signed,years,apy,apy_cap_pct,inflated_apy,value_per_million,epa_per_million,salary_percentile,value_cost_percentile_gap,expected_value_given_salary,value_above_expected_salary,salary_efficiency_percentile,salary_efficiency_tier,has_salary,salary_match_status,salary_interpretation
2021,00-0033891,Zay Jones,WR,LV,15,26,4,37,-0.327832972123,5.4866303249,0.475490196078,4.126027,inflated_apy,Zay Jones,Raiders,2021,1,2.5,0.014,4.126027,-0.0794548780518,1.32976112975,0.721105527638,-0.24561533156,0.175248217769,-0.503081189892,0.241206030151,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033893,Dalvin Cook,RB,MIN,13,26,4,41,-0.72326875131,-14.6394419042,0.178294573643,19.147931,inflated_apy,Dalvin Cook,Vikings,2020,5,12.6,0.064,19.147931,-0.0377726842294,-0.764544320963,0.959677419355,-0.781382845711,0.541192858376,-1.26446160969,0.153225806452,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033895,Gerald Everett,TE,SEA,15,27,4,44,0.350272569781,11.2195428498,0.761467889908,9.902466,inflated_apy,Gerald Everett,Seahawks,2021,1,6,0.033,9.902466,0.0353722567471,1.13300493532,0.841346153846,-0.0798782639379,0.476199001364,-0.125926431583,0.461538461538,Below Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033896,Adam Shaheen,TE,MIA,7,27,4,45,-0.308359532827,2.79347693678,0.477064220183,3.685217,inflated_apy,Adam Shaheen,MIA/HOU,2020,2,2.425,0.012,3.685217,-0.083674728741,0.758022373384,0.653846153846,-0.176781933663,-0.198669234441,-0.109690298386,0.480769230769,Below Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033897,Joe Mixon,RB,CIN,16,25,4,48,-0.879737861633,-16.7485244425,0.15503875969,18.236125,inflated_apy,Joe Mixon,Bengals,2020,4,12,0.061,18.236125,-0.0482414910861,-0.918425621806,0.943548387097,-0.788509627407,0.688789188801,-1.56852705043,0.129032258065,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033906,Alvin Kamara,RB,NO,13,26,4,67,-1.83816773055,-29.6674174844,0.077519379845,22.795156,inflated_apy,Alvin Kamara,Saints,2020,5,15,0.076,22.795156,-0.0806385238403,-1.30147902846,0.983870967742,-0.906351587897,0.602398236894,-2.44056596744,0.0322580645161,Low Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033908,Cooper Kupp,WR,LA,17,28,4,69,4.92960199903,111.49823531,1,23.934914,inflated_apy,Cooper Kupp,Rams,2020,3,15.75,0.079,23.934914,0.205958625923,4.65839297813,0.914572864322,0.0854271356784,0.769661337755,4.15994066127,1,High Efficiency,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033921,Chris Godwin Jr.,WR,TB,14,25,4,84,1.29359466038,38.1813087434,0.906862745098,26.378518,inflated_apy,Chris Godwin,Buccaneers,2021,1,15.983,0.088,26.378518,0.0490397019414,1.44743949389,0.949748743719,-0.0428859986206,0.650748648528,0.642846011848,0.844221105528,Above Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033923,Kareem Hunt,RB,CLE,8,26,4,86,1.06142923753,9.41690606425,0.906976744186,9.118063,inflated_apy,Kareem Hunt,Browns,2020,2,6,0.03,9.118063,0.116409509074,1.03277484091,0.903225806452,0.00375093773443,0.0892251833084,0.972204054226,0.887096774194,Above Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
2021,00-0033925,D'Onta Foreman,RB,TEN,9,25,4,89,0.00778829335207,-4.78535860212,0.426356589147,1.518378,inflated_apy,D'Onta Foreman,ATL/TEN,2021,1,0.92,0.005,1.518378,0.0051293507625,-3.15162535424,0.334677419355,0.0916791697924,-0.276626673586,0.284414966938,0.548387096774,Average,True,matched_contract,Approximate annual contract cost from nflverse/OverTheCap historical contracts; not a precise season cap hit.
