overall_rank,player_id,player_display_name,position,primary_team_2025,predicted_2026_fantasy_points_ppr,prediction_interval_low,prediction_interval_high,replacement_points,vorp,vorp_low,vorp_high,auction_value,adp,adp_formatted,adp_overall_rank,edge_vs_adp,bye,adp_total_drafts,adp_window_end,is_rookie_projection
340,00-0039794,Braelon Allen,RB,NYJ,31.2445975768,0,107.137417484,128.207979266,-96.9633816892,-128.207979266,-21.070561782,1,,,,,,,,False
341,00-0041099,Barion Brown,WR,NOR,37.5628764861,0,73.3494898214,134.583314587,-97.0204381009,-134.583314587,-61.2338247656,1,,,,,,,,True
342,00-0031236,Brandin Cooks,WR,NO,37.4439979698,0,113.400899138,134.583314587,-97.1393166172,-134.583314587,-21.182415449,1,,,,,,,,False
343,00-0036980,Elijah Moore,WR,BUF,37.0003276599,0,113.757218202,134.583314587,-97.5829869271,-134.583314587,-20.826096385,1,,,,,,,,False
344,00-0037267,Jerome Ford,RB,CLE,30.5172263657,0,106.303632614,128.207979266,-97.6907529003,-128.207979266,-21.904346652,1,,,,,,,,False
345,00-0038840,Brycen Tremayne,WR,CAR,36.5201391851,0,112.464981169,134.583314587,-98.0631754019,-134.583314587,-22.118333418,1,,,,,,,,False
346,00-0036755,Jaret Patterson,RB,LAC,30.0776483678,0,106.121534625,128.207979266,-98.1303308982,-128.207979266,-22.086444641,1,,,,,,,,False
347,00-0032385,Sterling Shepard,WR,TB,36.3996460235,0,112.524641401,134.583314587,-98.1836685635,-134.583314587,-22.058673186,1,,,,,,,,False
348,00-0036945,Justin Fields,QB,NYJ,128.497163822,50.2551328003,206.739194844,227.064343853,-98.567180031,-176.809211053,-20.325149009,1,,,,,,,,False
349,00-0040887,Josh Cuevas,TE,BAL,29.3302435131,7.60785926576,51.1417102162,128.111253946,-98.7810104329,-120.50339468,-76.9695437298,1,,,,,,,,True
350,00-0040894,Malik Benson,WR,LVR,35.6152335616,0,69.6795542453,134.583314587,-98.9680810254,-134.583314587,-64.9037603417,1,,,,,,,,True
351,00-0038547,Luke Schoonmaker,TE,DAL,28.3612336962,0,104.016122676,128.111253946,-99.7500202498,-128.111253946,-24.09513127,1,,,,,,,,False
352,00-0038046,Charlie Kolar,TE,BAL,28.3397333254,0,104.079772834,128.111253946,-99.7715206206,-128.111253946,-24.031481112,1,,,,,,,,False
353,00-0039589,Kameron Johnson,WR,TB,34.7433551529,0,112.077469479,134.583314587,-99.8399594341,-134.583314587,-22.505845108,1,,,,,,,,False
354,00-0037306,John FitzPatrick,TE,GB,27.953785923,0,103.902271036,128.111253946,-100.157468023,-128.111253946,-24.20898291,1,,,,,,,,False
355,00-0037085,Tyler Badie,RB,DEN,27.8977019279,0,103.692985345,128.207979266,-100.310277338,-128.207979266,-24.514993921,1,,,,,,,,False
356,00-0040895,Emmanuel Henderson Jr.,WR,SEA,34.2527617531,0.261517689519,65.3806552503,134.583314587,-100.330552834,-134.321796897,-69.2026593367,1,,,,,,,,True
357,00-0040154,Tai Felton,WR,MIN,34.1439518516,0,110.362608029,134.583314587,-100.439362735,-134.583314587,-24.220706558,1,,,,,,,,False
358,00-0036972,Mac Jones,QB,SF,126.611017745,45.0646846645,208.157350825,227.064343853,-100.453326108,-181.999659189,-18.906993028,1,,,,,,,,False
359,00-0036196,Gabe Davis,WR,BUF,34.129050843,0,109.878700474,134.583314587,-100.454263744,-134.583314587,-24.704614113,1,,,,,,,,False
360,00-0037004,Hunter Long,TE,JAX,27.3562056612,0,103.352905168,128.111253946,-100.755048285,-128.111253946,-24.758348778,1,,,,,,,,False
361,00-0038720,Julian Hill,TE,MIA,26.9608338157,0,102.619139896,128.111253946,-101.15042013,-128.111253946,-25.49211405,1,,,,,,,,False
362,00-0041399,CJ Daniels,WR,LAR,33.3858853249,0.0723778937879,64.8466775983,134.583314587,-101.197429262,-134.510936693,-69.7366369887,1,,,,,,,,True
363,00-0035228,Kyler Murray,QB,ARI,125.67117988,46.6534312442,204.688928517,227.064343853,-101.393163973,-180.410912609,-22.375415336,1,143.3,12.11,138,-225,6,943,2026-07-04,False
364,00-0040509,Ben Yurosek,TE,MIN,26.5263083523,0,102.681379739,128.111253946,-101.584945594,-128.111253946,-25.429874207,1,,,,,,,,False
365,00-0037231,Kevin Austin Jr.,WR,NO,32.916930429,0,108.885636231,134.583314587,-101.666384158,-134.583314587,-25.697678356,1,,,,,,,,False
366,00-0040581,Dont'e Thornton Jr.,WR,LV,32.8495815362,0,108.54079167,134.583314587,-101.733733051,-134.583314587,-26.042522917,1,,,,,,,,False
367,00-0041081,Max Bredeson,TE,MIN,25.9746412253,1.39015316005,49.083013623,128.111253946,-102.136612721,-126.721100786,-79.028240323,1,,,,,,,,True
368,00-0036754,Brock Wright,TE,DET,25.9213896132,0,101.600615545,128.111253946,-102.189864333,-128.111253946,-26.510638401,1,,,,,,,,False
369,00-0041100,Josh Cameron,WR,JAX,32.164327952,0,63.4315535592,134.583314587,-102.418986635,-134.583314587,-71.1517610278,1,,,,,,,,True
370,00-0040024,Darius Cooper,WR,PHI,32.0341285901,0,108.477288278,134.583314587,-102.549185997,-134.583314587,-26.106026309,1,,,,,,,,False
371,00-0035406,Lil'Jordan Humphrey,WR,DEN,31.7084889804,0,107.417909833,134.583314587,-102.874825607,-134.583314587,-27.165404754,1,,,,,,,,False
372,00-0041467,Lewis Bond,WR,HOU,31.502398132,0,63.4093888837,134.583314587,-103.080916455,-134.583314587,-71.1739257033,1,,,,,,,,True
373,00-0040879,Matthew Hibner,TE,BAL,24.9322746028,0.823255612933,48.0775416585,128.111253946,-103.178979343,-127.287998333,-80.0337122875,1,,,,,,,,True
374,00-0034775,Christian Kirk,WR,HOU,31.3526026466,0,107.17928585,134.583314587,-103.23071194,-134.583314587,-27.404028737,1,,,,,,,,False
375,00-0038090,Skyy Moore,WR,SF,30.832906531,0,107.023862015,134.583314587,-103.750408056,-134.583314587,-27.559452572,1,,,,,,,,False
376,00-0038839,Mitchell Tinsley,WR,CIN,30.5956414061,0,106.367233242,134.583314587,-103.987673181,-134.583314587,-28.216081345,1,,,,,,,,False
377,00-0041106,CJ Williams,WR,JAX,30.1712924583,0,60.3500901059,134.583314587,-104.412022129,-134.583314587,-74.2332244811,1,,,,,,,,True
378,00-0039796,Rasheen Ali,RB,BAL,23.7078501314,0,99.6261723129,128.207979266,-104.500129135,-128.207979266,-28.5818069531,1,,,,,,,,False
379,00-0039751,Jordan Whittington,WR,LA,29.8784439856,0,105.59029319,134.583314587,-104.704870601,-134.583314587,-28.993021397,1,,,,,,,,False
380,00-0039530,Brevyn Spann-Ford,TE,DAL,23.1235735863,0,98.8570983783,128.111253946,-104.98768036,-128.111253946,-29.2541555677,1,,,,,,,,False
381,00-0036328,Antonio Gibson,RB,NE,23.1275351917,0,98.8134000916,128.207979266,-105.080444074,-128.207979266,-29.3945791744,1,,,,,,,,False
382,00-0039746,Will Shipley,RB,PHI,22.9802593379,0,98.8104189941,128.207979266,-105.227719928,-128.207979266,-29.3975602719,1,,,,,,,,False
383,00-0040582,Arian Smith,WR,NYJ,29.1367027824,0,105.419492777,134.583314587,-105.446611805,-134.583314587,-29.16382181,1,,,,,,,,False
384,00-0038359,Xavier Smith,WR,LA,28.6984100475,0,104.685360383,134.583314587,-105.884904539,-134.583314587,-29.897954204,1,,,,,,,,False
385,00-0035243,Miles Sanders,RB,DAL,21.9959251895,0,97.771678445,128.207979266,-106.212054076,-128.207979266,-30.436300821,1,,,,,,,,False
386,00-0032775,Demarcus Robinson,WR,SF,27.8973362366,0,103.863468437,134.583314587,-106.68597835,-134.583314587,-30.71984615,1,,,,,,,,False
387,00-0041125,Seth McGowan,RB,IND,21.518937246,0,45.8348237509,128.207979266,-106.68904202,-128.207979266,-82.3731555151,1,,,,,,,,True
388,00-0033375,Tim Patrick,WR,JAX,27.784805533,0,104.149624193,134.583314587,-106.798509054,-134.583314587,-30.433690394,1,,,,,,,,False
389,00-0035631,Drew Sample,TE,CIN,21.3043545022,0,97.0582765617,128.111253946,-106.806899444,-128.111253946,-31.0529773843,1,,,,,,,,False
390,00-0036182,Nick Westbrook-Ikhine,WR,MIA,27.6558048855,0,103.553866159,134.583314587,-106.927509701,-134.583314587,-31.029448428,1,,,,,,,,False
391,00-0040506,Myles Price,WR,MIN,27.446325636,0,103.216799798,134.583314587,-107.136988951,-134.583314587,-31.366514789,1,,,,,,,,False
392,00-0034613,Tanner Hudson,TE,CIN,20.6386058356,0,96.435840247,128.111253946,-107.47264811,-128.111253946,-31.675413699,1,,,,,,,,False
393,00-0041084,Tanner Koziol,TE,JAX,20.5922124164,5.09759576422,36.8378799319,128.111253946,-107.51904153,-123.013658182,-91.2733740141,1,,,,,,,,True
394,00-0040901,Jaren Kanak,TE,TEN,20.2281953573,3.33813949016,37.1494246223,128.111253946,-107.883058589,-124.773114456,-90.9618293237,1,,,,,,,,True
395,00-0039603,British Brooks,RB,HOU,20.2995159978,0,95.9951570199,128.207979266,-107.908463268,-128.207979266,-32.2128222461,1,,,,,,,,False
396,00-0039299,George Holani,RB,SEA,20.0566112136,0,95.7615731069,128.207979266,-108.151368052,-128.207979266,-32.4464061591,1,,,,,,,,False
397,00-0030035,Adam Thielen,WR,MIN,26.1022911766,0,103.457929254,134.583314587,-108.48102341,-134.583314587,-31.125385333,1,,,,,,,,False
398,00-0039359,Cade Stover,TE,HOU,19.4394123846,0,95.1443734532,128.111253946,-108.671841561,-128.111253946,-32.9668804928,1,,,,,,,,False
399,00-0040900,Anthony Smith,WR,DAL,25.8734392047,0,52.949327336,134.583314587,-108.709875382,-134.583314587,-81.633987251,1,,,,,,,,True
