season,team,player_seasons,total_cap_over_replacement_millions,total_value_over_replacement,total_dollar_surplus_millions,mean_dollar_surplus_millions
2020,TB,11,44.491055,6.37857784649,-15.2597529582,-1.52597529582
2020,LV,12,33.348185,2.92057850095,-15.3199131174,-1.39271937431
2019,TEN,12,45.651099,8.05825193446,-15.3873202351,-1.28227668626
2019,PIT,12,16.719468,-3.31970527528,-15.7354049188,-1.31128374324
2025,CAR,12,24.587337,3.58463540217,-15.8666449837,-1.44242227125
2018,TEN,12,21.5663095,0.498039013508,-16.1014599909,-1.61014599909
2024,SF,10,64.254863,9.06310793312,-16.6146103795,-1.66146103795
2020,BAL,11,22.274607,7.06572376843,-16.8775341741,-1.68775341741
2020,BUF,11,52.31843,6.85692964477,-17.0543961741,-1.70543961741
2021,MIA,11,30.133516,0.649883921696,-17.7207023645,-1.96896692939
2018,DET,9,31.1571395,-1.14835495284,-17.9903348136,-2.24879185171
2017,MIN,10,46.212183,4.9840453794,-18.1141761647,-1.81141761647
2020,SF,11,34.446892,3.21325973858,-18.9972590709,-1.89972590709
2025,NE,11,51.358187,13.7702025208,-19.0037845357,-1.90037845357
2021,PHI,9,34.763852,5.56730730191,-19.618531141,-2.45231639262
2019,WAS,9,27.954805,-0.728799560449,-20.4341359182,-2.27045954647
2021,ATL,11,24.813272,-1.17725338234,-20.5492533877,-2.05492533877
2017,NYJ,10,36.4610345,0.520078225464,-20.7567342881,-2.07567342881
2016,LV,12,34.8806175,6.23289238873,-20.8627374915,-1.73856145762
2025,KC,12,36.615923,6.14395159846,-20.9815656581,-1.90741505983
2019,TB,11,52.55136,3.31511056222,-21.5595771044,-1.95996155495
2022,ATL,13,29.0057,2.55422111468,-21.5927515722,-1.79939596435
2020,PHI,12,22.689397,-1.73910394105,-21.878367099,-2.1878367099
2025,LV,12,21.056499,-5.83146606189,-22.0842742721,-2.00766129746
2018,ATL,11,47.38979,7.73105010611,-22.3072006431,-2.23072006431
2016,DAL,8,48.2282055,10.4981327548,-22.6093668892,-2.82617086115
2018,BAL,13,29.742248,2.38709079659,-22.892465571,-2.08113323373
2023,MIN,10,40.5953425,3.72947852837,-23.658169718,-2.3658169718
2019,LAC,7,34.812943,7.21331284586,-23.6741215621,-3.38201736601
2020,DEN,10,25.323104,-3.95310842998,-23.7450470098,-2.63833855665
2024,NYG,12,22.689794,-3.00844033778,-23.9195047195,-1.99329205996
2017,SF,12,37.4660765,1.97075086973,-24.1334650672,-2.01112208893
2016,DET,8,44.261812,5.65680298536,-24.6203277455,-3.07754096819
2022,DEN,12,35.084337,-2.26037376811,-24.8599038277,-2.25999125706
2022,BAL,10,30.06447,0.604365466884,-25.2665344415,-2.52665344415
2018,DAL,11,39.6669585,3.44213637576,-25.4102052637,-2.54102052637
2025,JAX,11,38.382953,4.77524821722,-26.3421959605,-2.63421959605
2025,LA,12,53.395857,12.7135618635,-27.0182741824,-2.45620674385
2021,LV,11,36.05067,-0.848140540972,-27.1756936608,-2.71756936608
2025,MIA,12,35.969539,3.70869065509,-27.3192722001,-2.48357020001
2018,KC,10,52.084023,13.560284182,-27.4621958327,-3.05135509253
2018,SF,12,32.954784,3.5301210449,-27.8339863731,-2.53036239755
2021,BUF,9,43.922275,4.15771391561,-27.8738104475,-3.48422630594
2018,LV,10,36.7713995,1.62179562853,-28.2665252473,-3.14072502748
2018,HOU,8,44.396321,0.026894873688,-28.5319360179,-4.0759908597
2017,NO,10,33.76612,8.9573377721,-28.9045650368,-2.89045650368
2021,JAX,13,29.306155,-4.07156279241,-29.0044595553,-2.41703829627
2018,SEA,10,52.5611,6.7554311274,-29.1126799572,-3.23474221747
2020,ATL,13,51.155457,1.84422472913,-29.2778523888,-2.4398210324
2018,NE,10,41.505195,3.22247950201,-29.3735787277,-2.93735787277
2025,NO,12,38.354958,0.578426047262,-29.3859017327,-2.93859017327
2018,MIA,12,31.908435,-1.86759500079,-29.5036512797,-2.68215011634
2025,ATL,10,31.355295,2.16510712961,-29.5090989851,-3.68863737314
2019,CAR,9,29.578124,3.06160881301,-29.578764035,-3.28652933723
2017,TB,12,58.118179,6.57014040356,-29.8610981756,-2.48842484796
2021,BAL,11,39.123852,2.47327149231,-29.8643683054,-2.98643683054
2022,CIN,12,52.320465,7.16067759931,-30.0577208954,-2.7325200814
2024,BAL,10,114.84766,17.7272292164,-30.1332532098,-3.01332532098
